Email Text,Email Type
"available capacity pursuant to our discussion this morning on available capacity on the thoreau - west section of tw , the following capacity is available in 2001 with no rofr rights : 14 , 000 mmbtu april - october 49 , 000 mmbtu november forward please refer to the attached spreadsheet for more information on available capacity . lorraine",Safe Email
"base gas roll for april 01 due to some unscheduled problems . . . . . the base gas roll for april was not completed last night . it will be run tonight however . thanks gg - - - - - - - - - - - - - - - - - - - - - - forwarded by george grant / hou / ect on 03 / 20 / 2001 01 : 29 pm - - - - - - - - - - - - - - - - - - - - - - - - - - - george grant 03 / 19 / 2001 10 : 00 am to : luis aybar / enron @ enronxgate cc : vance l taylor / enron @ enronxgate , daren j farmer / hou / ect @ ect , robert cotten / hou / ect @ ect , edward terry / hou / ect @ ect subject : base gas roll for april 01 the texas desk has requested that we run the base gas roll tonight , 3 / 19 for april 2001 production thanks gg",Safe Email
"sum : computer transcription a couple of months ago , i asked the members of this list for help regarding software for the transcription of spoken discourse . i received a large number of answers , some to my personal e-mail address , some ' public ' . in the following i shall quote some of the answers and attempt to sum up what i consider to be the most important info received on the matter : perhaps slightly off the subject a few answers spoke of the possibilities for machine-readable text : quote : ' a company named norris communication ( san diego , ca ) sells a digital recorder that breaks down audio input into machine readable code ( including ascii i assume ) ' ' norris is reputed to be only one of two companies in the usa ( maybe the world ) manufacturing digital audio recorders using so-called "" flash chips "" ( semiconductor memory chips that permit both read and write functions ) . the digitized flash memory can be "" dumped "" to a pc in machine readable code ( which i assume would include ascii compatibility - - that 's my assumption ) . i do n't have an address , but i got their telephone number from directory assistance . the company is located in a suburb of san diego , california called poway , california . the listed telephone number is 619-679 - 1504 . if that does n't work for some reason , directory assistance can be reached at 619-555 - 1212 . ' a number of answers centered around using standard word processors ' macro facilities : quote : ' i used to do this quite satisfactorily on the pc using ms word with glossary items to quickly input speaker identification , special character sequences , etc . use a style sheet for controlling formatting . i imagine that word perfect for the pc can do the same thing , especially with its macros . ' ' i ' ve made a set of macro 's which operate on a standardized form to facilitate the transcribing process . essentially what i did is simply reduce all routinely occurring series of keystrokes to one alt - or control - key . ' most transcription software seems to be available for the mac : quote : ' for the macintosh i would definitely use nisus with a macro that has been assigned a short and easy to type keyboard shortcut . from little things like this to far more complex tasks , nisus is amazing . it is truly the power user 's and linguist 's word processor of choice . from what i have seen , it is also the most worldscript - savvy word processor available . if you have n't seen it , check out the new nisuswriter 4 . 0 which should be shipping very soon if not already . ' more info may be available from this internet address : nisus . mktg @ applelink . apple . com syncwriter : quote : ' the mac - programme you mention is syncwriter , i guess . it costs some hundred german marks ' syncwriter is sold by : med - i-bit , hohenfelderstrasse 20 , 22087 hamburg , germany ( phone + 49 40 251 67 125 ) . workbench : quote : ' you are welcome to include the workbench in your summary . however , as you know the bench is not really a transcription program , though it has some features for making transcribing easier - - e . g . the transcription keypad ( with user definable strings and ca symbols ) and the ability to link and play in a loop quicktime movie audio tapes . also , do mention that distribution is limited at this time . the bench is now available on the world wide web . ' for further info , try contacting : thebench @ alishaw . ucsb . edu for dos - based computers : hiat-dos 2 . 2 : quote : ' hiat-dos was developed as a transcription programme everybody can afford ; that is why it lacks certain technical gimmicks . the price of the new version is somewhat between 40 and 80 german marks ( as far as i know ) ; it is distributed by ' : prof . konrad ehlich institut fuer deutsch als fremdsprache lmu muenchen ludwigstrasse 27 d-80359 muenchen fax : germany-089 / 21802116 . quote : ' hiat-dos is a kind of word processing program designed for processing transcripts ; thus you ' ve got a certain format in which you fill the transcript , you ' ve got certain special correction devices etc . it 's a simple tool which is more comfortable for transcription purposes than word processing programs , that 's all . ' recommended reading : ehlich , konrad ( 1992 ) hiat - a transcription system for discourse data . in : edwards , jane a . / lampert , martin d . ( eds . ) talking data . hillsdale n . j . : erlbaum . a couple of other programs ( mac and dos ) were mentioned , but they seem to be unfinished so far . why is it that noone has developed a user-friendly windows - based transcription program ? the above mentioned transcription programs all use the text / music score principle , i . e . , the conversation is printed in ' running ' systems . if you , as i do myself , use standard line transcription , there seems to be very little help out there to save you from adjusting a lot whenever you make any changes or corrections to your transript . one possibility may be a system of macros - perhaps this calls for further discussion in this forum ? ? ? thank you to everyone for your cooperation , karsten gramkow karsten gramkow centre for languages and intercultural studies aalborg university havrevangen 1 dk - 9000 aalborg denmark ph . : + 45 98 15 42 11 , ext . 6229 fax : + 45 98 16 65 66 e-mail : gramkow @ hum . auc . dk",Safe Email
re : any changes should come from bob ' s group that ' s us .,Safe Email
"historical ling announcing le lingue indoeuropee ( edited by anna giacalone ramat and paolo ramat ) , bologna , casa editrice il mulino , 1994 the volume is intended to provide the state of the art on the indoeuropean language family . each chapter is devoted to one subgroup and covers phonological , morphological , syntactic and lexical matters . contents : e . campanile , antichita ' indoeuropee . c . watkins , il protoindo - europeo . b . comrie , la famiglia linguistica indoeuropea : prospettive genetiche e tipologiche . r . lazzeroni , sanscrito . n . sims - williams , le lingue iraniche . w . winter , tocario . s . luraghi , le lingue anatoliche , r . ajello , armeno . h . m . hopenigswald , greco . e . vineis , latino . d . silvestri , le lingue italiche . p . sims - williams , le lingue celtiche . p . ramat , le lingue germaniche . h . andersen , le lingue slave . w . schmalstieg , le lingue baltiche , s . demiraj , albanese . subject index name index available from : casa editrice il mulino , strada maggiore 37 , 40125 bologna ( italy ) phonology & phonetics taylor , paul a . a phonetic model of intonation in english . 1994 . 172 pp . 6x9 book , prepaid us $ 25 . 00 + 3 . 50 p&h . iulc publications , 720 e . atwater ave . , bloomington in 47401-3634 . < iulc @ indiana . edu > phonetics . addresses the problem of relating the acoustic and phonological descriptions of intonation . a multi-level approach and new description systems on the phonological and phonetic levels are proposed . computer algorithms attempt to analyze and synthesize f0 contours using the new systems . experiments and results are presented . socioling the discourse of negotiation - studies of language in the workplace edited by alan firth , denmark isbn : 0-08 - 042400 - 7 hardback viewing negotiations at a micro level of analysis , this book focuses on a wide variety of settings , from industrial meetings to comsumer helplines . * available for discussion * published october 1994 by elsevier science ltd tel : + 44 ( 0 ) 1865 843685",Safe Email
"re : report for louise that ' s correct . percopo works for lee . - - - - - original message - - - - - from : kitchen , louise sent : wednesday , may 30 , 2001 1 : 55 pm to : deffner , joseph subject : re : report for louise the numbers look good . return date - june 18 th . is lee above bob ? i presume so - don ' t mind the dinner but some time at the end of june . regards louise from : joseph deffner / enron @ enronxgate on 05 / 30 / 2001 01 : 51 pm to : louise kitchen / hou / ect @ ect cc : subject : re : report for louise hey there ! congrats with scott william . i hope all is going well . fifteen days and counting till our third arrival . i ' ve attached the dash that documented the divestiture . the quick summary of the economics per heather kroll are as follows : original basis of $ 8 mm . signed the purchase and sale agreement on may 16 for $ 22 mm ( gain of $ 14 mm ) sold put for $ 3 . 5 mm with $ 1 . 7 mm granted to origination . i don ' t know for sure what the desk booked . the coal supply contract resulted in $ 5 mm mark to market to egm . the ferc 203 filing has been made regarding market power . they are not expecting any issues with ferc or the north carolina commission and expect final approval by the beginning of july . net gain of about $ 21 mm on transaction . chris lee , the managing partner of highstar , has requested the opportunity to take you and i out to dinner sometime after you ' ve returned and settled back in to discuss the merits of enron ' s investment in highstar . if that ' s of interest let me know and i can schedule some time . once again , congratulations . do you have an expected return date yet ? joe > - - - - - original message - - - - - from : schoppe , tammie sent : tuesday , may 29 , 2001 4 : 18 pm to : deffner , joseph subject : report for louise hi joe , louise would like you to send her an update on aig highstar via email . please let me know if you have any questions . thanks , tammie x 34220",Safe Email
schedule crawler : hourahead failure start date : 12 / 19 / 01 ; hourahead hour : 18 ; hourahead schedule download failed . manual intervention required .,Safe Email
"free lancer eventos free lancer eventos servi?o profissional na ?rea de promo??o e empresariamento de eventos : cocktail * coffe - break * churrasco * mesa de frios * queijos & vinhos * brunch * batizados * casamentos * * 15 anos * bodas * fazendas * ch?caras * s?tios * * feiras * conven??es * eventos em geral . * temos tamb?m encomendas de salgados , bolos , doces e aluguel de material em geral . contrata??o de profissionais : * gar?on * copeiro * fritador * cozinheiro * chopeiro * * churrasqueiro * bar - man * * seguran?a e recepcionista * fazemos toda a ?rea do rio e grande rio ou outros estados , se assim desejar . temos bons profissionais para fazer de sua festa um momento inesquec?vel de prazer e alegria . para qualquer esclarecimento : tel . : 21 2573 . 6864 / 2270 . 5260 / 9419 . 4970 fax no . 21 - 2260 . 8466 e - mail : freelancereventos @ globo . com * * empresa inscrita no sicaf * *",Phishing Email
"This MSDN mail thing reminds me of how I've documented this feature of
SpamAssassin here so that our users understand it.I define ""Solicited Commercial Email"" vs ""Unsolicited Commercial Email"" -
the latter being SPAM. As SpamAssassin basically looks for ""Commercial
Email"", both get hit, and that's something they must understand.Our SA documentation further tells users to filter off their SCE before
applying a SA rule - gets rid of 100% of the problem as the users know who
is sending them SCE.-- 
CheersJason Haar
Information Security Manager, Trimble Navigation Ltd.
Phone: +64 3 9635 377 Fax: +64 3 9635 417
PGP Fingerprint: 7A2E 0407 C9A6 CAF6 2B9F 8422 C063 5EBB FE1D 66D1
-------------------------------------------------------
This sf.net email is sponsored by:ThinkGeek
Welcome to geek heaven.
http://thinkgeek.com/sf
_______________________________________________
Spamassassin-talk mailing list
Spamassassin-talk@lists.sourceforge.net
https://lists.sourceforge.net/lists/listinfo/spamassassin-talk
",Safe Email
inexpensive meds have you thought about taking viagra but decided that it wasn ' t worth the risk ? please visit the url : http : / / www . 1 holymoly . info / rx / ? 7 not intrested then click here http : / / vjslnsldkfj . info / ? hwjmjyhfjlua 3 nn,Phishing Email
